DATE,TIME,COLONY,LOCATION,SEX,AGE,CATEGORY,ITEM,SEVERITY,ACTION,OUTCOME,EQUIPMENT,NUMBER,NOTE,Year,Month,Severity_Score,Event_Count
12/13/2021,7:27:00,Pelican Point,Wreck,Male,Adult,Industrial,Packaging Strap,Very Severe,Rescue Attempt,Item Removed,Net,606,-,2021,12,4,1
12/3/2021,8:22:00,Pelican Point,Outside,Male,Subadult,Industrial,Rope,Severe,Sighting,-,-,-,Newborns In The Group,2021,12,3,1
12/3/2021,7:07:00,Pelican Point,Lighthouse (S),Female,Subadult,Industrial,Packaging Strap,Very Severe,Sighting,-,-,-,Newborns In The Group,2021,12,4,1
11/22/2021,9:03:00,Pelican Point,Inside,Female,Adult,Fishing,Commercial Line,Slight,Sighting,-,-,-,Newborns In The Group,2021,11,1,1
11/22/2021,10:02:00,Pelican Point,Jetty,Female,Juvenile,Industrial,Packaging Strap,Slight,Sighting,-,-,-,Newborns In The Group,2021,11,1,1
11/19/2021,8:10:00,Pelican Point,Inside,Female,Juvenile,Fishing,Commercial Line,Slight,Sighting,-,-,-,Newborns In The Group,2021,11,1,1
11/8/2021,10:02:00,Pelican Point,Outside,Male,Subadult,Fishing,Commercial Line,Slight,Rescue Attempt,Item Removed,Net,605,-,2021,11,1,1
11/7/2021,10:05:00,Cape Cross,Parking,Male,Pup,Domestic,Plastic Wrap,Slight,Rescue Attempt,Item Removed,,603,-,2021,11,1,1
11/7/2021,11:33:00,Cape Cross,Beach (S),Male,Pup,Fishing,Recreational Line,Slight,Rescue Attempt,Item Removed,,604,-,2021,11,1,1
11/7/2021,11:17:00,Cape Cross,Beach (N),Male,Pup,Fishing,Recreational Line,Severe,Sighting,-,-,-,Newborns In The Group,2021,11,3,1
11/7/2021,11:14:00,Cape Cross,Beach (N),Female,Pup,Fishing,Recreational Line,Slight,Sighting,-,-,-,Newborns In The Group,2021,11,1,1
